[SW]:,Diamond_64bit3.8.0.86.0
[synthesis]:,lse
[Speed grade]:,6
[Target Fmax]:,
[Note]:
[Updated date]:,Mon Jun 20 16:02:20 2016
Design,Version,Device,Register,Slice,LUT,IO,EBR,DRAM,DSP,DSP_MULT,DSP_ALU,PCS,distributed_RAM,CCU,MULT18X18D,MULT9X9D,ALU54B,ALU24B,PRADD18A,PRADD9A,MULT36X36B,MULT18X18B,MULT18X18MACB,MULT18X18ADDSUBB,MULT18X18ADDSUBSUMB,MULT9X9B,MULT9X9ADDSUBB,MULT18X18C,MULT9X9C,ALU54A,ALU24A,MapCPUTime,MapPeakMem,Seed/Target,PAP,PAPFactor,targetFmax,fmax,clkName,logic,route,level,twrLabel,score_setup,score_hold,Pass_num,S_pref_num,H_pref_num,CCU_lse,LsePeakMem,PostLSEClk,PostLSEFmax,SynPeakMem,lse_CPU_Time,srr_Cpu_time,srr_Real_time,mrp_CPU_Time,mrp_REAL_Time,Complete,ParPeakMem,Par_Done,par_CPU_Time,par_REAL_Time,Total_cpu_time,Total_real_time
17_zygo_update,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,483,1036,1702,27,0,0,NA,NA,NA,NA,0,679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,49,120.00MHz,67.68%,-,120.000,81.215,N00004,34.1%,65.9%,20,Target_fmax_120.00MHz_Impl_PrjName_Impl,15415333,151,26,3\2,3\1,679,105.813,E_c,80.893,NA,4.820,NA,NA,0,0,YES,143.086,YES,67,68,71,68
19_PmodACL_4_12_13,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,210,252,414,31,0,0,NA,NA,NA,NA,0,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,360.00MHz,49.42%,-,360.000,177.904,CLK_c,28.5%,71.5%,6,Target_fmax_360.00MHz_Impl_PrjName_Impl,2414919,1040,36,2\2,2\2,45,66.836,CLK_c,127.421,NA,2.605,NA,NA,0,0,YES,86.516,YES,12,12,14,12
21_can,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,636,1121,1645,19,1,24,NA,NA,NA,NA,24,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,53,170.00MHz,54.27%,-,170.000,92.259,clk_i_c,28.9%,71.1%,12,Target_fmax_170.00MHz_Impl_PrjName_Impl,15993349,2526,36,1\1,1\1,67,90.012,clk_i_c,70.892,NA,8.018,NA,NA,1,0,YES,117.129,YES,28,29,37,29
21_uart_ir_4_12_13,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,34,36,43,19,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,330.00MHz,87.99%,-,330.000,290.360,i_rx_clk_c,32.8%,67.2%,3,Target_fmax_330.00MHz_Impl_PrjName_Impl,8556,288,36,2\2,2\2,NA,58.898,i_clk_c,199.681,NA,0.749,NA,NA,0,0,YES,77.206,YES,12,13,12,13
23_dual_cmos_720p,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,87,71,93,28,1,0,NA,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,240.00MHz,78.59%,-,240.000,188.608,rd_clk_c,81.4%,18.6%,2,Target_fmax_240.00MHz_Impl_PrjName_Impl,56595,120,36,2\2,2\1,30,56.414,rd_clk_c,204.248,NA,0.827,NA,NA,0,0,YES,79.286,YES,12,13,12,13
26_dirac_decoder,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,147,341,613,13,1,48,NA,NA,NA,NA,48,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,100.00MHz,81.46%,-,100.000,81.460,CLOCK_c,60.0%,40.0%,16,Target_fmax_100.00MHz_Impl_PrjName_Impl,8553144,773,36,1\1,1\1,158,82.840,CLOCK_c,131.130,NA,2.028,NA,NA,0,0,YES,95.932,YES,18,19,20,19
28_i2c,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,130,158,214,33,0,0,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,290.00MHz,76.31%,-,290.000,221.288,wb_clk_i_c,45.9%,54.1%,10,Target_fmax_290.00MHz_Impl_PrjName_Impl,155791,512,36,1\1,1\1,9,59.703,wb_clk_i_c,156.544,NA,1.217,NA,NA,0,0,YES,82.371,YES,14,14,15,14
29_SD_to_SD_UART,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,935,985,1153,20,4,0,NA,NA,NA,NA,0,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,51,320.00MHz,34.48%,-,320.000,110.351,ioMmc_clk_c_c,27.7%,72.3%,10,Target_fmax_320.00MHz_Impl_PrjName_Impl,22045395,3789,36,2\2,2\2,187,84.723,ioMmc_clk_c_c,79.422,NA,5.975,NA,NA,0,0,YES,109.793,YES,17,17,22,17
30_CAN_Controller,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,1136,1458,2258,25,0,0,NA,NA,NA,NA,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,61,150.00MHz,87.43%,-,150.000,131.148,i_osc_clk_c_derived_1105,26.1%,73.9%,8,Target_fmax_150.00MHz_Impl_PrjName_Impl,422891,6353,36,2\1,2\2,69,105.039,i_osc_clk_c_derived_1105,89.670,NA,11.794,NA,NA,1,0,YES,129.827,YES,33,34,45,34
35_ser_ser,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,1992,1185,1683,4,0,0,NA,NA,NA,NA,0,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,57,070.00MHz,90.19%,-,70.000,63.131,clock_c,70.5%,29.5%,169,Target_fmax_070.00MHz_Impl_PrjName_Impl,3894327,11063,36,1\1,1\1,167,130.637,clock_c,117.855,NA,13.276,NA,NA,0,0,YES,128.651,YES,40,41,53,41
38_zigzag_decode,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,17,142,256,28,1,0,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,380.00MHz,36.15%,-,380.000,137.382,CLK_c,25.8%,74.2%,7,Target_fmax_380.00MHz_Impl_PrjName_Impl,11548494,93,36,1\1,1\1,4,64.594,CLK_c,87.192,NA,1.498,NA,NA,0,0,YES,82.526,YES,11,12,12,12
39_zigzag_encode,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,18,139,242,29,1,0,NA,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,210.00MHz,64.48%,-,210.000,135.410,clk_c,26.4%,73.6%,8,Target_fmax_210.00MHz_Impl_PrjName_Impl,4264368,104,36,1\1,1\1,4,64.273,clk_c,97.324,NA,1.435,NA,NA,0,0,YES,82.100,YES,13,13,14,13
