[SW]:,Diamond_64bit3.8.0.86.0
[synthesis]:,synpL201603Lbeta
[Speed grade]:,6
[Target Fmax]:,
[Note]:
[Updated date]:,Mon Jun 20 16:01:47 2016
Design,Version,Device,Register,Slice,LUT,IO,EBR,DRAM,DSP,DSP_MULT,DSP_ALU,PCS,distributed_RAM,CCU,MULT18X18D,MULT9X9D,ALU54B,ALU24B,PRADD18A,PRADD9A,MULT36X36B,MULT18X18B,MULT18X18MACB,MULT18X18ADDSUBB,MULT18X18ADDSUBSUMB,MULT9X9B,MULT9X9ADDSUBB,MULT18X18C,MULT9X9C,ALU54A,ALU24A,MapCPUTime,MapPeakMem,Seed/Target,PAP,PAPFactor,targetFmax,fmax,clkName,logic,route,level,twrLabel,score_setup,score_hold,Pass_num,S_pref_num,H_pref_num,CCU_lse,LsePeakMem,PostLSEClk,PostLSEFmax,SynPeakMem,lse_CPU_Time,srr_Cpu_time,srr_Real_time,mrp_CPU_Time,mrp_REAL_Time,Complete,ParPeakMem,Par_Done,par_CPU_Time,par_REAL_Time,Total_cpu_time,Total_real_time
17_zygo_update,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,886,1293,2215,27,0,0,NA,NA,NA,NA,0,915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55,110.00MHz,79.96%,-,110.000,87.958,N00004,39.6%,60.4%,24,Target_fmax_110.00MHz_Impl_PrjName_Impl,8625391,118,26,3\2,3\1,915,NA,NA,NA,168,NA,10,10,0,0,YES,127.525,YES,81,82,91,92
19_PmodACL_4_12_13,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,222,256,426,31,0,0,NA,NA,NA,NA,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,39,210.00MHz,88.46%,-,210.000,185.770,CLK_c,27.5%,72.5%,5,Target_fmax_210.00MHz_Impl_PrjName_Impl,13392,1243,36,1\1,1\1,40,NA,NA,NA,158,NA,3,3,0,0,YES,86.815,YES,16,16,19,19
21_can,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,611,1121,1715,19,0,54,NA,NA,NA,NA,54,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,130.00MHz,79.77%,-,130.000,103.702,clk_i_c,28.7%,71.3%,11,Target_fmax_130.00MHz_Impl_PrjName_Impl,3308350,2026,36,1\1,1\1,79,NA,NA,NA,238,NA,16,16,0,0,YES,115.528,YES,30,30,46,46
21_uart_ir_4_12_13,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,44,47,62,19,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,290.00MHz,86.25%,-,290.000,250.125,i_clk_c,32.4%,67.6%,4,Target_fmax_290.00MHz_Impl_PrjName_Impl,452,220,36,2\1,2\2,NA,NA,NA,NA,146,NA,1,1,0,0,YES,78.328,YES,10,11,11,12
23_dual_cmos_720p,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,76,91,127,28,1,0,NA,NA,NA,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,240.00MHz,86.41%,-,240.000,207.383,rd_clk_c,34.6%,65.4%,6,Target_fmax_240.00MHz_Impl_PrjName_Impl,18985,506,36,2\2,2\2,19,NA,NA,NA,145,NA,1,1,0,0,YES,80.040,YES,10,10,11,11
26_dirac_decoder,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,199,365,640,13,0,48,NA,NA,NA,NA,48,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,40,210.00MHz,48.70%,-,210.000,102.270,CLOCK_c,43.3%,56.7%,19,Target_fmax_210.00MHz_Impl_PrjName_Impl,19397733,269,36,1\1,1\1,162,NA,NA,NA,150,NA,2,2,0,0,YES,96.174,YES,16,16,18,18
28_i2c,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,132,167,273,33,0,0,NA,NA,NA,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,390.00MHz,60.47%,-,390.000,235.849,wb_clk_i_c,28.2%,71.8%,4,Target_fmax_390.00MHz_Impl_PrjName_Impl,778330,545,36,1\1,1\1,9,NA,NA,NA,155,NA,2,2,0,0,YES,83.476,YES,14,15,16,17
29_SD_to_SD_UART,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,929,975,1428,20,4,0,NA,NA,NA,NA,0,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,52,250.00MHz,46.01%,-,250.000,115.022,iSd_clk_c,28.7%,71.3%,11,Target_fmax_250.00MHz_Impl_PrjName_Impl,16749236,2287,36,2\2,2\2,196,NA,NA,NA,225,NA,13,13,0,0,YES,112.013,YES,24,25,37,38
30_CAN_Controller,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,1107,1195,2211,25,0,0,NA,NA,NA,NA,0,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58,190.00MHz,64.52%,-,190.000,122.579,i_osc_clk_c,28.0%,72.0%,9,Target_fmax_190.00MHz_Impl_PrjName_Impl,7031548,1068,36,1\1,1\1,99,NA,NA,NA,212,NA,18,17,0,0,YES,121.283,YES,31,31,49,48
35_ser_ser,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,1991,1276,2467,4,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,62,200.00MHz,38.16%,-,200.000,76.318,clock_c,16.3%,83.7%,9,Target_fmax_200.00MHz_Impl_PrjName_Impl,31835565,0,36,1\1,1\0,NA,NA,NA,NA,188,NA,29,29,1,2,YES,132.547,YES,127,128,157,159
38_zigzag_decode,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,54,173,318,28,0,72,NA,NA,NA,NA,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,340.00MHz,66.54%,-,340.000,226.244,CLK_c,34.1%,65.9%,5,Target_fmax_340.00MHz_Impl_PrjName_Impl,426003,388,36,1\1,1\1,NA,NA,NA,NA,149,NA,1,1,0,0,YES,83.272,YES,13,13,14,14
39_zigzag_encode,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,44,177,322,29,0,72,NA,NA,NA,NA,72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,37,270.00MHz,71.39%,-,270.000,192.753,clk_c,21.5%,78.5%,4,Target_fmax_270.00MHz_Impl_PrjName_Impl,418663,325,36,1\1,1\1,NA,NA,NA,NA,153,NA,2,1,0,0,YES,83.747,YES,14,14,16,15
40_cmos_to_dphy_cs2_raw8_300,Diamond (64-bit) 3.8.0.86.0,LIF-MD6000CSFBGA81,798,1289,2150,15,4,432,NA,NA,NA,NA,432,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,62,270.00MHz,54.20%,-,270.000,146.327,cmos_to_dphy_gen_inst/cmos_2_dphy_ip_in   st/byte_clk_w,NA,NA,NA,Target_fmax_270.00MHz_Impl_PrjName_Impl,14451581,3550,36,4\4,4\4,NA,NA,NA,NA,145,NA,3,4,2,2,YES,131.080,YES,36,37,41,43
